"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
SJVN,74.96,83.99,74.67,74.74,83.27,-,8.53,11.41,"8,22,65,437",673.67,112.5,69.85,7.33,-25.09
IDBI,104.2,115.7,104.05,103.76,114.6,-,10.84,10.45,"13,51,10,622","1,514.59",115.7,65.89,15.01,49.35
OLAELEC,37.89,41.2,37.72,37.52,41,-,3.48,9.28,"28,52,26,155","1,142.90",88.59,30.76,2.12,-52.57
TARIL,310,343.7,305.8,307.9,336,-,28.1,9.13,"3,91,83,009","1,304.40",648.9,230.1,29.66,-71.83
BOSCHLTD,"36,170.00","39,600.00","36,150.00","36,140.00","39,195.00",-,"3,055.00",8.45,"1,85,984",721.14,"41,945.00","25,921.60",7.53,15.83
ALLCARGO,10.73,11.6,10.65,10.64,11.5,-,0.86,8.08,"1,33,59,086",14.92,50.9,10.08,-11.73,-77.32
SANDUMA,246,268.8,246,244.44,264.1,-,19.66,8.04,"2,49,04,909",648.75,268.8,112.4,27.3,-37
COALINDIA,401.35,429.5,401,400.45,429.1,-,28.65,7.15,"3,50,90,129","1,476.00",429.5,349.25,12.92,10.74
SHRIPISTON,"3,140.00","3,348.80","3,130.00","3,144.80","3,348.00",-,203.2,6.46,"1,41,252",46.03,"3,348.80","1,662.55",23.86,51.75
SANSERA,"1,795.00","1,889.80","1,785.10","1,765.50","1,879.00",-,113.5,6.43,"4,62,798",85.23,"1,889.80",972.2,8.58,28.07
JBMA,626.25,674.65,625,625.65,664.95,-,39.3,6.28,"1,30,84,529",870.85,824,489.8,8.89,-56.88
ANANTRAJ,552.5,588,552,552.5,586,-,33.5,6.06,"54,53,591",314.15,947.9,376.15,5.1,-31.78
NLCINDIA,256.8,273.75,255.35,256.15,271.65,-,15.5,6.05,"60,70,028",162.51,292.2,186.03,12.65,12.24
TORNTPOWER,"1,324.00","1,407.00","1,324.00","1,327.00","1,400.60",-,73.6,5.55,"17,81,418",246.69,"1,640.00","1,188.00",6.56,-6.35
IREDA,140.05,147.6,140.05,139.36,146.98,-,7.62,5.47,"2,85,77,864",414.21,234.29,129.11,4.61,-33.87
NHPC,79.56,83.93,79.5,79.56,83.7,-,4.14,5.2,"3,24,30,153",267.65,92.34,71,8.2,2.05
CESC,167.49,176.4,167.01,167.1,175.65,-,8.55,5.12,"44,85,832",77.61,192.27,119,1.38,-5.78
SKIPPER,431.5,462.4,428.8,430.55,452.5,-,21.95,5.1,"7,77,752",35.17,588,342.5,-3.11,-19.69
DABUR,501.45,526.35,499,499.95,525.4,-,25.45,5.09,"53,40,608",277.13,577,433.3,2.88,2.28
FIEMIND,"2,228.30","2,346.50","2,202.70","2,228.30","2,340.30",-,112,5.03,"69,083",15.93,"2,445.00","1,255.10",3.08,56.13
AETHER,897.1,953.1,889.95,898.95,943.7,-,44.75,4.98,"8,60,409",80.21,953.1,725,8.75,6.98
PPLPHARMA,170.1,179.1,170.1,169.88,178.31,-,8.43,4.96,"49,60,834",87.57,267.65,165.12,-3.66,-30.89
JAMNAAUTO,127.14,133.4,126.88,126.52,132.56,-,6.04,4.77,"1,00,08,842",131.88,133.4,68.57,8.33,31.86
NATIONALUM,316.2,331.4,315.7,314.6,329.55,-,14.95,4.75,"2,12,72,570",693.25,331.4,137.75,24.57,54.25
