SYMBOL,VOLUME,%CHNG
20MICRONS,1000000,0.0
21STCENMGM,1000000,0.0
360ONE,1000000,0.0
3IINFOLTD,1000000,0.0
3MINDIA,1000000,0.0
3PLAND,1000000,0.0
5PAISA,1000000,0.0
63MOONS,1000000,0.0
A2ZINFRA,1000000,0.0
AAATECH,1000000,0.0
AADHARHFC,1000000,0.0
AAKASH,1000000,0.0
AAREYDRUGS,1000000,0.0
AARON,1000000,0.0
AARTECH,1000000,0.0
AARTIDRUGS,1000000,0.0
AARTIIND,1000000,0.0
AARTIPHARM,1000000,0.0
AARTISURF,1000000,0.0
AARVI,1000000,0.0
AAVAS,1000000,0.0
ABB,1000000,0.0
ABBOTINDIA,1000000,0.0
ABCAPITAL,1000000,0.0
ABCOTS,1000000,0.0
ABDL,1000000,0.0
ABFRL,1000000,0.0
ABINFRA,1000000,0.0
ABLBL,1000000,0.0
ABMINTLLTD,1000000,0.0
ABREL,1000000,0.0
ABSLAMC,1000000,0.0
ACC,1000000,0.0
ACCELYA,1000000,0.0
ACCURACY,1000000,0.0
ACE,1000000,0.0
ACEINTEG,1000000,0.0
ACI,1000000,0.0
ACL,1000000,0.0
ACMESOLAR,1000000,0.0
ACUTAAS,1000000,0.0
ADANIENSOL,1000000,0.0
ADANIENT,1000000,0.0
ADANIGREEN,1000000,0.0
ADANIPORTS,1000000,0.0
ADANIPOWER,1000000,0.0
ADFFOODS,1000000,0.0
ADL,1000000,0.0
ADOR,1000000,0.0
ADROITINFO,1000000,0.0
ADSL,1000000,0.0
ADVANCE,1000000,0.0
ADVANIHOTR,1000000,0.0
ADVENTHTL,1000000,0.0
ADVENZYMES,1000000,0.0
AEGISLOG,1000000,0.0
AEGISVOPAK,1000000,0.0
AEQUS,1000000,0.0
AEROENTER,1000000,0.0
AEROFLEX,1000000,0.0
AERONEU,1000000,0.0
AETHER,1000000,0.0
AFCONS,1000000,0.0
AFFLE,1000000,0.0
AFFORDABLE,1000000,0.0
AFIL,1000000,0.0
AFSL,1000000,0.0
AGARIND,1000000,0.0
AGARWALEYE,1000000,0.0
AGI,1000000,0.0
AGIIL,1000000,0.0
AGROPHOS,1000000,0.0
AHCL,1000000,0.0
AHLADA,1000000,0.0
AHLEAST,1000000,0.0
AHLUCONT,1000000,0.0
AIAENG,1000000,0.0
AIIL,1000000,0.0
AIRAN,1000000,0.0
AIROLAM,1000000,0.0
AJANTPHARM,1000000,0.0
AJAXENGG,1000000,0.0
AJMERA,1000000,0.0
AJOONI,1000000,0.0
AKASH,1000000,0.0
AKG,1000000,0.0
AKI,1000000,0.0
AKSHAR,1000000,0.0
AKSHARCHEM,1000000,0.0
AKSHOPTFBR,1000000,0.0
