stock,entry,sl,tp,rr,trend,volume,momentum,rsi,vwap,score,date,time,result
BBOX,1053.7,1047.0,1080.04,,0.0036,3.9,0.0038,63.3,1049.82,86.93,2026-06-01,08:24,STALE
HMVL,71.1,69.38,72.88,,0.0122,1.61,0.0245,57.0,70.21,84.16,2026-06-01,08:27,STALE
UDS,175.36,171.23,179.74,,0.0145,1.96,0.0235,73.5,171.86,89.42,2026-06-01,08:33,STALE
VARROC,576.8,571.3,591.22,,0.006,3.91,0.0073,64.9,570.98,100.0,2026-06-01,08:33,STALE
VELJAN,1050.0,1000.0,1076.25,,0.0102,,0.0048,52.6,1027.72,,2026-06-01,08:33,STALE
AJAXENGG,588.35,585.1,603.06,,0.003,4.81,0.0033,61.4,585.03,81.75,2026-06-01,14:30,STALE
EMCURE,1706.3,1693.1,1748.96,,0.0028,3.41,0.0037,63.7,1707.06,82.61,2026-06-01,14:34,STALE
EXIDEIND,393.0,388.65,402.82,,0.0052,1.92,0.0085,68.9,389.9,88.81,2026-06-01,14:34,STALE
HSCL,605.5,600.1,620.64,,0.0046,1.96,0.0071,57.7,598.63,87.63,2026-06-01,14:36,STALE
HUDCO,203.5,201.0,208.59,,0.0061,2.5,0.0104,71.9,202.63,97.53,2026-06-01,14:36,STALE
INDNIPPON,899.4,885.0,921.89,,0.0101,2.54,0.0114,63.6,895.22,98.07,2026-06-01,14:36,STALE
JSWINFRA,273.9,272.8,280.75,,0.0026,2.55,0.0033,61.6,273.58,77.89,2026-06-01,14:37,STALE
KERNEX,1852.0,1820.0,1898.3,,0.0123,3.65,0.0147,71.7,1806.44,100.0,2026-06-01,14:37,STALE
MAZDA,233.83,228.0,239.68,,0.0057,3.8,0.0036,72.2,232.33,92.81,2026-06-01,14:38,STALE
OBCL,52.78,51.75,54.1,,0.0126,,0.0191,57.0,51.96,,2026-06-01,14:39,STALE
PANACHE,355.2,350.0,364.08,,0.0062,1.73,0.0147,53.8,352.79,85.91,2026-06-01,14:40,STALE
