symbol,score,date
BLS,7.67,2026-03-24
JBMA,7.16,2026-03-24
ALKYLAMINE,6.7,2026-03-24
BALRAMCHIN,5.92,2026-03-24
ACUTAAS,5.88,2026-03-24
TEJASNET,5.38,2026-03-24
FINPIPE,4.89,2026-03-24
FIRSTCRY,4.83,2026-03-24
CHOICEIN,4.75,2026-03-24
ONESOURCE,4.69,2026-03-24
OLECTRA,4.54,2026-03-24
CHENNPETRO,4.5,2026-03-24
AWFIS,4.49,2026-03-24
IFBIND,4.34,2026-03-24
GULFOILLUB,4.34,2026-03-24
PURVA,3.97,2026-03-24
JUBLPHARMA,3.89,2026-03-24
MRPL,3.77,2026-03-24
LXCHEM,3.6,2026-03-24
JAMNAAUTO,3.58,2026-03-24
VIYASH,3.56,2026-03-24
ICIL,3.52,2026-03-24
HBLENGINE,3.43,2026-03-24
LUMAXTECH,3.42,2026-03-24
UNIMECH,3.34,2026-03-24
STARCEMENT,3.33,2026-03-24
ARVINDFASN,3.25,2026-03-24
TIINDIA,3.21,2026-03-24
SUNTV,3.13,2026-03-24
COALINDIA,3.13,2026-03-24
BALAMINES,3.1,2026-03-24
WEBELSOLAR,3.08,2026-03-24
ASAHIINDIA,3.07,2026-03-24
FORCEMOT,3.06,2026-03-24
KNRCON,3.06,2026-03-24
KITEX,3.06,2026-03-24
ANUP,3.06,2026-03-24
METROPOLIS,3.04,2026-03-24
RKFORGE,3.04,2026-03-24
LINDEINDIA,3.03,2026-03-24
RELINFRA,2.99,2026-03-24
ELECTCAST,2.98,2026-03-24
POWERGRID,2.96,2026-03-24
WESTLIFE,2.96,2026-03-24
GRAVITA,2.95,2026-03-24
GANESHHOU,2.93,2026-03-24
SUNTECK,2.9,2026-03-24
GMRAIRPORT,2.88,2026-03-24
CHOLAHLDNG,2.86,2026-03-24
APOLLOHOSP,2.86,2026-03-24
CASTROLIND,2.81,2026-03-24
WOCKPHARMA,2.78,2026-03-24
SHRIRAMFIN,2.78,2026-03-24
SAREGAMA,2.78,2026-03-24
STLTECH,2.76,2026-03-24
CDSL,2.75,2026-03-24
IDBI,2.73,2026-03-24
LEMONTREE,2.71,2026-03-24
BHARTIHEXA,2.7,2026-03-24
ZYDUSWELL,2.67,2026-03-24
SHILPAMED,2.66,2026-03-24
EMUDHRA,2.66,2026-03-24
TBOTEK,2.65,2026-03-24
FIVESTAR,2.62,2026-03-24
AEGISVOPAK,2.6,2026-03-24
PRUDENT,2.51,2026-03-24
INDIANB,2.5,2026-03-24
SKYGOLD,2.45,2026-03-24
VGUARD,2.4,2026-03-24
BANCOINDIA,2.39,2026-03-24
KRN,2.39,2026-03-24
TI,2.37,2026-03-24
PARAS,2.36,2026-03-24
GRINFRA,2.34,2026-03-24
YATHARTH,2.33,2026-03-24
INDIGO,2.29,2026-03-24
INDIGOPNTS,2.28,2026-03-24
JSL,2.26,2026-03-24
RAYMONDLSL,2.25,2026-03-24
JYOTHYLAB,2.25,2026-03-24
KIRLOSENG,2.23,2026-03-24
EMIL,2.22,2026-03-24
SHARDACROP,2.2,2026-03-24
THANGAMAYL,2.2,2026-03-24
SUNDRMFAST,2.18,2026-03-24
TDPOWERSYS,2.18,2026-03-24
JKTYRE,2.18,2026-03-24
REFEX,2.17,2026-03-24
EICHERMOT,2.17,2026-03-24
KPITTECH,2.17,2026-03-24
LLOYDSME,2.14,2026-03-24
RVNL,2.14,2026-03-24
ENTERO,2.12,2026-03-24
GESHIP,2.11,2026-03-24
IRFC,2.1,2026-03-24
EMCURE,2.09,2026-03-24
BBL,2.07,2026-03-24
ETERNAL,2.06,2026-03-24
GPPL,2.05,2026-03-24
KOTAKBANK,2.03,2026-03-24
CRAFTSMAN,2.01,2026-03-24
SUNDARMFIN,1.99,2026-03-24
NIACL,1.97,2026-03-24
HYUNDAI,1.97,2026-03-24
ASIANPAINT,1.96,2026-03-24
NUVOCO,1.95,2026-03-24
HDFCAMC,1.95,2026-03-24
PRICOLLTD,1.93,2026-03-24
J&KBANK,1.92,2026-03-24
MUTHOOTFIN,1.92,2026-03-24
FLUOROCHEM,1.9,2026-03-24
ONGC,1.9,2026-03-24
GODREJPROP,1.9,2026-03-24
SCI,1.89,2026-03-24
POWERINDIA,1.88,2026-03-24
VINATIORGA,1.85,2026-03-24
AETHER,1.83,2026-03-24
UNIONBANK,1.82,2026-03-24
ANANDRATHI,1.81,2026-03-24
IXIGO,1.8,2026-03-24
